"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
1995,"ZIP 20003",".",20003,"01JAN1995","31DEC1995",".",".",".",".",".",120000,183,82673,42,0.0,11,53,3.9,19,".",".",".",1
1996,"ZIP 20003",".",20003,"01JAN1996","31DEC1996",".",".",".",".",".",137500,233,79569,61,0.0,13,66,5.7,28,".",".",".",1
1997,"ZIP 20003",".",20003,"01JAN1997","31DEC1997",".",".",".",".",".",139000,261,81926,65,0.0,12,59,4.1,20,".",".",".",1
1998,"ZIP 20003",".",20003,"01JAN1998","31DEC1998",".",".",".",".",".",147500,347,100113,66,0.1,18,91,6.3,31,".",".",".",1
1999,"ZIP 20003",".",20003,"01JAN1999","31DEC1999",".",".",".",".",".",150850,336,109364,63,0.1,17,84,6.1,30,".",".",".",1
2000,"ZIP 20003",".",20003,"01JAN2000","31DEC2000",".",".",".",".",".",177500,287,105799,75,0.0,17,86,7.3,36,".",".",".",1
2001,"ZIP 20003",".",20003,"01JAN2001","31DEC2001",".",".",".",".",".",265000,293,110658,68,0.0,12,59,5.7,28,".",".",".",1
2002,"ZIP 20003",".",20003,"01JAN2002","31DEC2002",".",".",".",".",".",310000,307,128333,77,0.0,13,65,2.6,13,".",".",".",1
2003,"ZIP 20003",".",20003,"01JAN2003","31DEC2003",".",".",".",".",".",350000,290,145453,80,0.1,11,55,0.0,0.0,".",".",".",1
2004,"ZIP 20003",".",20003,"01JAN2004","31DEC2004",".",".",".",".",".",488300,321,148408,89,0.1,6.3,32,0.4,2.0,".",".",".",1
2005,"ZIP 20003",".",20003,"01JAN2005","31DEC2005",".",".",".",".",".",535000,297,148408,89,0.1,6.5,34,0.6,3.0,".",".",".",1
