"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2010","31DEC2010","ZIP 20016",2010,20016,22,1.6,1
"01JAN2011","31DEC2011","ZIP 20016",2011,20016,20,1.2,1
"01JAN2012","31DEC2012","ZIP 20016",2012,20016,21,1.2,1
"01JAN2013","31DEC2013","ZIP 20016",2013,20016,25,0.9,1
"01JAN2014","31DEC2014","ZIP 20016",2014,20016,22,1.1,1
"01JAN2015","31DEC2015","ZIP 20016",2015,20016,23,1.2,1
"01JAN2016","31DEC2016","ZIP 20016",2016,20016,18,1.3,1
"01JAN2000","31DEC2000","ZIP 20017",2000,20017,42,10,1
"01JAN2001","31DEC2001","ZIP 20017",2001,20017,47,11,1
"01JAN2002","31DEC2002","ZIP 20017",2002,20017,43,10,1
"01JAN2003","31DEC2003","ZIP 20017",2003,20017,41,10,1
"01JAN2004","31DEC2004","ZIP 20017",2004,20017,37,9.6,1
"01JAN2005","31DEC2005","ZIP 20017",2005,20017,41,14,1
"01JAN2006","31DEC2006","ZIP 20017",2006,20017,34,13,1
"01JAN2007","31DEC2007","ZIP 20017",2007,20017,30,12,1
"01JAN2008","31DEC2008","ZIP 20017",2008,20017,31,8.8,1
"01JAN2009","31DEC2009","ZIP 20017",2009,20017,32,8.9,1
"01JAN2010","31DEC2010","ZIP 20017",2010,20017,33,8.2,1
"01JAN2011","31DEC2011","ZIP 20017",2011,20017,37,7.4,1
"01JAN2012","31DEC2012","ZIP 20017",2012,20017,39,9.6,1
"01JAN2013","31DEC2013","ZIP 20017",2013,20017,37,8.7,1
"01JAN2014","31DEC2014","ZIP 20017",2014,20017,55,7.6,1
"01JAN2015","31DEC2015","ZIP 20017",2015,20017,47,7.7,1
"01JAN2016","31DEC2016","ZIP 20017",2016,20017,42,8.2,1
"01JAN2000","31DEC2000","ZIP 20018",2000,20018,59,17,1
"01JAN2001","31DEC2001","ZIP 20018",2001,20018,63,15,1
"01JAN2002","31DEC2002","ZIP 20018",2002,20018,58,16,1
"01JAN2003","31DEC2003","ZIP 20018",2003,20018,66,18,1
"01JAN2004","31DEC2004","ZIP 20018",2004,20018,63,15,1
"01JAN2005","31DEC2005","ZIP 20018",2005,20018,59,18,1
"01JAN2006","31DEC2006","ZIP 20018",2006,20018,51,16,1
"01JAN2007","31DEC2007","ZIP 20018",2007,20018,52,15,1
"01JAN2008","31DEC2008","ZIP 20018",2008,20018,49,15,1
"01JAN2009","31DEC2009","ZIP 20018",2009,20018,47,12,1
"01JAN2010","31DEC2010","ZIP 20018",2010,20018,51,11,1
"01JAN2011","31DEC2011","ZIP 20018",2011,20018,54,14,1
"01JAN2012","31DEC2012","ZIP 20018",2012,20018,62,15,1
"01JAN2013","31DEC2013","ZIP 20018",2013,20018,74,13,1
