"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2006","31DEC2006","DC Tract 40.02",2006,11001004002,8.7,4.3,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 40.02",2007,11001004002,0.0,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 40.02",2008,11001004002,5.3,5.3,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 40.02",2009,11001004002,6.3,3.1,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 40.02",2010,11001004002,5.6,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 40.02",2011,11001004002,0.0,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 40.02",2012,11001004002,9.1,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 40.02",2013,11001004002,19,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 40.02",2014,11001004002,4.2,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 40.02",2015,11001004002,7.4,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 40.02",2016,11001004002,13,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 41",2003,11001004100,8.3,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 41",2004,11001004100,14,3.6,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 41",2005,11001004100,4.5,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 41",2006,11001004100,3.4,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 41",2007,11001004100,9.1,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 41",2008,11001004100,0.0,0.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 41",2009,11001004100,11,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 41",2010,11001004100,20,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 41",2011,11001004100,0.0,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 41",2012,11001004100,0.0,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 41",2013,11001004100,4.2,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 41",2014,11001004100,0.0,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 41",2015,11001004100,0.0,0.0,"District of Columbia",1
