start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-03,31-Dec-03,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2003,Cluster 13,8.2,0,1
1-Jan-04,31-Dec-04,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2004,Cluster 13,6.4,1.8,1
1-Jan-05,31-Dec-05,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2005,Cluster 13,8.5,0.6,1
1-Jan-06,31-Dec-06,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2006,Cluster 13,8,0.7,1
1-Jan-07,31-Dec-07,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2007,Cluster 13,8,2.6,1
1-Jan-08,31-Dec-08,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2008,Cluster 13,6.1,0.7,1
1-Jan-09,31-Dec-09,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2009,Cluster 13,8.9,0,1
1-Jan-10,31-Dec-10,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2010,Cluster 13,6.4,0.7,1
1-Jan-11,31-Dec-11,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2011,Cluster 13,5.6,0,1
1-Jan-98,31-Dec-98,"Cathedral Heights, McLean Gardens, Glover Park",1998,Cluster 14,4.1,0.7,1
1-Jan-99,31-Dec-99,"Cathedral Heights, McLean Gardens, Glover Park",1999,Cluster 14,6.1,0,1
1-Jan-00,31-Dec-00,"Cathedral Heights, McLean Gardens, Glover Park",2000,Cluster 14,7.4,2.4,1
1-Jan-01,31-Dec-01,"Cathedral Heights, McLean Gardens, Glover Park",2001,Cluster 14,4.1,0.8,1
1-Jan-02,31-Dec-02,"Cathedral Heights, McLean Gardens, Glover Park",2002,Cluster 14,6.4,1.8,1
1-Jan-03,31-Dec-03,"Cathedral Heights, McLean Gardens, Glover Park",2003,Cluster 14,4.4,1,1
1-Jan-04,31-Dec-04,"Cathedral Heights, McLean Gardens, Glover Park",2004,Cluster 14,7.2,1.1,1
1-Jan-05,31-Dec-05,"Cathedral Heights, McLean Gardens, Glover Park",2005,Cluster 14,5.7,0,1
1-Jan-06,31-Dec-06,"Cathedral Heights, McLean Gardens, Glover Park",2006,Cluster 14,9.3,1,1
1-Jan-07,31-Dec-07,"Cathedral Heights, McLean Gardens, Glover Park",2007,Cluster 14,7.7,0.8,1
1-Jan-08,31-Dec-08,"Cathedral Heights, McLean Gardens, Glover Park",2008,Cluster 14,7.4,1,1
1-Jan-09,31-Dec-09,"Cathedral Heights, McLean Gardens, Glover Park",2009,Cluster 14,4.4,0.5,1
1-Jan-10,31-Dec-10,"Cathedral Heights, McLean Gardens, Glover Park",2010,Cluster 14,5.5,0,1
1-Jan-11,31-Dec-11,"Cathedral Heights, McLean Gardens, Glover Park",2011,Cluster 14,5.8,0,1
1-Jan-98,31-Dec-98,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1998,Cluster 15,8.4,1,1
1-Jan-99,31-Dec-99,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1999,Cluster 15,4.3,1.6,1
1-Jan-00,31-Dec-00,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2000,Cluster 15,5.1,0.5,1
1-Jan-01,31-Dec-01,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2001,Cluster 15,3,1.4,1
1-Jan-02,31-Dec-02,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2002,Cluster 15,8.5,0.7,1
