"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN1999","31DEC1999","Cluster 15",1999,15,0.04344,0.01797,1
"01JAN2000","31DEC2000","Cluster 15",2000,15,0.06879,0.01030,1
"01JAN2001","31DEC2001","Cluster 15",2001,15,0.01145,0.01145,1
"01JAN2002","31DEC2002","Cluster 15",2002,15,0.09170,0.00846,1
"01JAN2003","31DEC2003","Cluster 15",2003,15,0.05208,0.00000,1
"01JAN2004","31DEC2004","Cluster 15",2004,15,0.03893,0.00799,1
"01JAN2005","31DEC2005","Cluster 15",2005,15,0.05505,0.00000,1
"01JAN2006","31DEC2006","Cluster 15",2006,15,0.08333,0.00000,1
"01JAN2007","31DEC2007","Cluster 15",2007,15,0.08088,0.02222,1
"01JAN2008","31DEC2008","Cluster 15",2008,15,0.06422,0.00000,1
"01JAN2009","31DEC2009","Cluster 15",2009,15,0.03906,0.00781,1
"01JAN2010","31DEC2010","Cluster 15",2010,15,0.05000,0.00000,1
"01JAN2011","31DEC2011","Cluster 15",2011,15,0.07813,0.00000,1
"01JAN1998","31DEC1998","Cluster 16",1998,16,0.07143,0.07143,1
"01JAN1999","31DEC1999","Cluster 16",1999,16,0.31579,0.02632,1
"01JAN2000","31DEC2000","Cluster 16",2000,16,0.32258,0.03226,1
"01JAN2001","31DEC2001","Cluster 16",2001,16,0.07895,0.02632,1
"01JAN2002","31DEC2002","Cluster 16",2002,16,0.02564,0.05128,1
"01JAN2003","31DEC2003","Cluster 16",2003,16,0.16667,0.02778,1
"01JAN2004","31DEC2004","Cluster 16",2004,16,0.10526,0.00000,1
"01JAN2005","31DEC2005","Cluster 16",2005,16,0.18182,0.04545,1
"01JAN2006","31DEC2006","Cluster 16",2006,16,0.11905,0.04762,1
"01JAN2007","31DEC2007","Cluster 16",2007,16,0.13725,0.01961,1
"01JAN2008","31DEC2008","Cluster 16",2008,16,0.03448,0.03448,1
"01JAN2009","31DEC2009","Cluster 16",2009,16,0.00000,0.00000,1
"01JAN2010","31DEC2010","Cluster 16",2010,16,0.05882,0.02941,1
"01JAN2011","31DEC2011","Cluster 16",2011,16,0.06061,0.03030,1
"01JAN1998","31DEC1998","Cluster 17",1998,17,0.12987,0.13853,1
"01JAN1999","31DEC1999","Cluster 17",1999,17,0.07759,0.11688,1
"01JAN2000","31DEC2000","Cluster 17",2000,17,0.11885,0.09426,1
"01JAN2001","31DEC2001","Cluster 17",2001,17,0.07917,0.08333,1
"01JAN2002","31DEC2002","Cluster 17",2002,17,0.12698,0.09524,1
"01JAN2003","31DEC2003","Cluster 17",2003,17,0.14126,0.07435,1
"01JAN2004","31DEC2004","Cluster 17",2004,17,0.07639,0.10727,1
"01JAN2005","31DEC2005","Cluster 17",2005,17,0.09509,0.07669,1
"01JAN2006","31DEC2006","Cluster 17",2006,17,0.09184,0.07417,1
"01JAN2007","31DEC2007","Cluster 17",2007,17,0.05779,0.07035,1
"01JAN2008","31DEC2008","Cluster 17",2008,17,0.09780,0.09535,1
"01JAN2009","31DEC2009","Cluster 17",2009,17,0.08861,0.07848,1
"01JAN2010","31DEC2010","Cluster 17",2010,17,0.07908,0.07143,1
"01JAN2011","31DEC2011","Cluster 17",2011,17,0.06541,0.06092,1
"01JAN1998","31DEC1998","Cluster 18",1998,18,0.12413,0.16725,1
"01JAN1999","31DEC1999","Cluster 18",1999,18,0.12982,0.12544,1
"01JAN2000","31DEC2000","Cluster 18",2000,18,0.07317,0.13636,1
"01JAN2001","31DEC2001","Cluster 18",2001,18,0.12392,0.14828,1
"01JAN2002","31DEC2002","Cluster 18",2002,18,0.11494,0.14122,1
"01JAN2003","31DEC2003","Cluster 18",2003,18,0.09772,0.13192,1
"01JAN2004","31DEC2004","Cluster 18",2004,18,0.08607,0.12520,1
"01JAN2005","31DEC2005","Cluster 18",2005,18,0.10593,0.11723,1
"01JAN2006","31DEC2006","Cluster 18",2006,18,0.10553,0.13015,1
"01JAN2007","31DEC2007","Cluster 18",2007,18,0.11205,0.12289,1
"01JAN2008","31DEC2008","Cluster 18",2008,18,0.07944,0.11565,1
"01JAN2009","31DEC2009","Cluster 18",2009,18,0.07850,0.09329,1
"01JAN2010","31DEC2010","Cluster 18",2010,18,0.09290,0.10309,1
"01JAN2011","31DEC2011","Cluster 18",2011,18,0.07540,0.07169,1
"01JAN1998","31DEC1998","Cluster 19",1998,19,0.22047,0.09449,1
"01JAN1999","31DEC1999","Cluster 19",1999,19,0.16814,0.10526,1
"01JAN2000","31DEC2000","Cluster 19",2000,19,0.12381,0.14286,1
"01JAN2001","31DEC2001","Cluster 19",2001,19,0.10526,0.14286,1
"01JAN2002","31DEC2002","Cluster 19",2002,19,0.09821,0.15179,1
"01JAN2003","31DEC2003","Cluster 19",2003,19,0.12409,0.08029,1
"01JAN2004","31DEC2004","Cluster 19",2004,19,0.12214,0.09160,1
"01JAN2005","31DEC2005","Cluster 19",2005,19,0.09774,0.06015,1
"01JAN2006","31DEC2006","Cluster 19",2006,19,0.09774,0.11278,1
"01JAN2007","31DEC2007","Cluster 19",2007,19,0.13690,0.10778,1
"01JAN2008","31DEC2008","Cluster 19",2008,19,0.10000,0.12222,1
"01JAN2009","31DEC2009","Cluster 19",2009,19,0.10152,0.11675,1
"01JAN2010","31DEC2010","Cluster 19",2010,19,0.09412,0.12353,1
"01JAN2011","31DEC2011","Cluster 19",2011,19,0.07653,0.10714,1
"01JAN1998","31DEC1998","Cluster 20",1998,20,0.15909,0.07955,1
"01JAN1999","31DEC1999","Cluster 20",1999,20,0.10390,0.14286,1
"01JAN2000","31DEC2000","Cluster 20",2000,20,0.12346,0.11111,1
"01JAN2001","31DEC2001","Cluster 20",2001,20,0.11268,0.11268,1
"01JAN2002","31DEC2002","Cluster 20",2002,20,0.13793,0.13793,1
"01JAN2003","31DEC2003","Cluster 20",2003,20,0.07143,0.07143,1
"01JAN2004","31DEC2004","Cluster 20",2004,20,0.08434,0.08434,1
"01JAN2005","31DEC2005","Cluster 20",2005,20,0.14865,0.09459,1
"01JAN2006","31DEC2006","Cluster 20",2006,20,0.13514,0.18919,1
"01JAN2007","31DEC2007","Cluster 20",2007,20,0.17978,0.07865,1
"01JAN2008","31DEC2008","Cluster 20",2008,20,0.11321,0.11321,1
"01JAN2009","31DEC2009","Cluster 20",2009,20,0.02679,0.13393,1
"01JAN2010","31DEC2010","Cluster 20",2010,20,0.06250,0.06140,1
"01JAN2011","31DEC2011","Cluster 20",2011,20,0.07627,0.12712,1
"01JAN1998","31DEC1998","Cluster 21",1998,21,0.19048,0.22711,1
"01JAN1999","31DEC1999","Cluster 21",1999,21,0.20301,0.23970,1
"01JAN2000","31DEC2000","Cluster 21",2000,21,0.15412,0.21661,1
"01JAN2001","31DEC2001","Cluster 21",2001,21,0.15476,0.19444,1
"01JAN2002","31DEC2002","Cluster 21",2002,21,0.12195,0.17073,1
"01JAN2003","31DEC2003","Cluster 21",2003,21,0.09579,0.16858,1
"01JAN2004","31DEC2004","Cluster 21",2004,21,0.14063,0.12891,1
"01JAN2005","31DEC2005","Cluster 21",2005,21,0.10714,0.09600,1
"01JAN2006","31DEC2006","Cluster 21",2006,21,0.11661,0.10601,1
"01JAN2007","31DEC2007","Cluster 21",2007,21,0.12996,0.12274,1
"01JAN2008","31DEC2008","Cluster 21",2008,21,0.07692,0.10490,1
"01JAN2009","31DEC2009","Cluster 21",2009,21,0.12111,0.13103,1
"01JAN2010","31DEC2010","Cluster 21",2010,21,0.10274,0.10239,1
"01JAN2011","31DEC2011","Cluster 21",2011,21,0.11579,0.05965,1
"01JAN1998","31DEC1998","Cluster 22",1998,22,0.17355,0.18852,1
"01JAN1999","31DEC1999","Cluster 22",1999,22,0.13115,0.23770,1
"01JAN2000","31DEC2000","Cluster 22",2000,22,0.07143,0.20000,1
"01JAN2001","31DEC2001","Cluster 22",2001,22,0.14754,0.20492,1
"01JAN2002","31DEC2002","Cluster 22",2002,22,0.19492,0.25424,1
"01JAN2003","31DEC2003","Cluster 22",2003,22,0.09244,0.12605,1
"01JAN2004","31DEC2004","Cluster 22",2004,22,0.12143,0.17857,1
"01JAN2005","31DEC2005","Cluster 22",2005,22,0.17323,0.17460,1
"01JAN2006","31DEC2006","Cluster 22",2006,22,0.15038,0.13534,1
"01JAN2007","31DEC2007","Cluster 22",2007,22,0.09459,0.19728,1
"01JAN2008","31DEC2008","Cluster 22",2008,22,0.14286,0.25974,1
"01JAN2009","31DEC2009","Cluster 22",2009,22,0.09581,0.16766,1
"01JAN2010","31DEC2010","Cluster 22",2010,22,0.13725,0.16993,1
"01JAN2011","31DEC2011","Cluster 22",2011,22,0.19858,0.12766,1
"01JAN1998","31DEC1998","Cluster 23",1998,23,0.21509,0.23396,1
"01JAN1999","31DEC1999","Cluster 23",1999,23,0.19820,0.19820,1
"01JAN2000","31DEC2000","Cluster 23",2000,23,0.15766,0.18919,1
"01JAN2001","31DEC2001","Cluster 23",2001,23,0.13274,0.25664,1
"01JAN2002","31DEC2002","Cluster 23",2002,23,0.10811,0.18468,1
"01JAN2003","31DEC2003","Cluster 23",2003,23,0.14286,0.20690,1
"01JAN2004","31DEC2004","Cluster 23",2004,23,0.16466,0.16532,1
"01JAN2005","31DEC2005","Cluster 23",2005,23,0.13617,0.15319,1
"01JAN2006","31DEC2006","Cluster 23",2006,23,0.15984,0.22131,1
"01JAN2007","31DEC2007","Cluster 23",2007,23,0.14902,0.19368,1
"01JAN2008","31DEC2008","Cluster 23",2008,23,0.13308,0.25095,1
"01JAN2009","31DEC2009","Cluster 23",2009,23,0.13878,0.20816,1
"01JAN2010","31DEC2010","Cluster 23",2010,23,0.14957,0.17521,1
"01JAN2011","31DEC2011","Cluster 23",2011,23,0.11417,0.20472,1
"01JAN1998","31DEC1998","Cluster 24",1998,24,0.14563,0.12621,1
"01JAN1999","31DEC1999","Cluster 24",1999,24,0.12903,0.09677,1
"01JAN2000","31DEC2000","Cluster 24",2000,24,0.10185,0.12037,1
"01JAN2001","31DEC2001","Cluster 24",2001,24,0.14414,0.17117,1
"01JAN2002","31DEC2002","Cluster 24",2002,24,0.16129,0.10753,1
"01JAN2003","31DEC2003","Cluster 24",2003,24,0.09346,0.09434,1
"01JAN2004","31DEC2004","Cluster 24",2004,24,0.08696,0.15054,1
"01JAN2005","31DEC2005","Cluster 24",2005,24,0.17600,0.15200,1
"01JAN2006","31DEC2006","Cluster 24",2006,24,0.15909,0.10687,1
"01JAN2007","31DEC2007","Cluster 24",2007,24,0.10204,0.10274,1
"01JAN2008","31DEC2008","Cluster 24",2008,24,0.10959,0.07534,1
"01JAN2009","31DEC2009","Cluster 24",2009,24,0.07971,0.07194,1
"01JAN2010","31DEC2010","Cluster 24",2010,24,0.11347,0.07183,1
"01JAN2011","31DEC2011","Cluster 24",2011,24,0.05393,0.09020,1
"01JAN1998","31DEC1998","Cluster 25",1998,25,0.13725,0.16807,1
"01JAN1999","31DEC1999","Cluster 25",1999,25,0.14634,0.15031,1
"01JAN2000","31DEC2000","Cluster 25",2000,25,0.10056,0.16201,1
"01JAN2001","31DEC2001","Cluster 25",2001,25,0.15556,0.08333,1
"01JAN2002","31DEC2002","Cluster 25",2002,25,0.10249,0.09972,1
"01JAN2003","31DEC2003","Cluster 25",2003,25,0.10632,0.11494,1
"01JAN2004","31DEC2004","Cluster 25",2004,25,0.11082,0.11842,1
"01JAN2005","31DEC2005","Cluster 25",2005,25,0.10169,0.07282,1
"01JAN2006","31DEC2006","Cluster 25",2006,25,0.08539,0.09888,1
"01JAN2007","31DEC2007","Cluster 25",2007,25,0.10233,0.07243,1
