"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2000,"ZIP 20019",20019,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-5.7,"X","X"
2000,"ZIP 20020",20020,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-8.4,"X","X"
2000,"ZIP 20024",20024,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-24,"X","X"
2000,"ZIP 20032",20032,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-0.1,"X","X"
2000,"ZIP 20036",20036,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",57,"X","X"
2000,"ZIP 20037",20037,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",15,"X","X"
2000,"ZIP 20052",20052,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-66,"X","X"
2000,"ZIP 20057",20057,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",".","X","X"
2000,"ZIP 20059",20059,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-12,"X","X"
2000,"ZIP 20064",20064,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-4.9,"X","X"
2000,"ZIP 20332",20332,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",15,"X","X"
2000,"ZIP 20336",20336,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",15,"X","X"
2000,"ZIP 20001",20001,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",3328,6935
2001,"ZIP 20001",20001,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",3325,6654
2002,"ZIP 20001",20001,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",3392,6785
2003,"ZIP 20001",20001,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",3451,7410
2004,"ZIP 20001",20001,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",3581,7550
