"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2000,"PSA 301",11164,".",301,"01JAN2000","31DEC2000",7.7,7.0,21,22,59,13,5.0,44,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 302",12457,".",302,"01JAN2000","31DEC2000",27,8.6,34,58,5.9,33,3.1,52,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 303",15644,".",303,"01JAN2000","31DEC2000",9.6,5.2,26,20,57,17,6.0,29,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 304",10913,".",304,"01JAN2000","31DEC2000",21,7.6,27,65,7.5,26,1.8,63,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 305",3940,".",305,"01JAN2000","31DEC2000",17,8.2,14,69,14,15,1.5,50,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 306",4250,".",306,"01JAN2000","31DEC2000",13,7.7,10,93,1.0,3.8,1.0,74,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 307",10438,".",307,"01JAN2000","31DEC2000",15,9.0,29,43,26,26,4.6,33,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 308",6459,".",308,"01JAN2000","31DEC2000",24,11,16,76,8.2,8.6,7.2,60,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 401",10643,".",401,"01JAN2000","31DEC2000",17,17,14,72,17,9.0,1.1,38,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 402",11202,".",402,"01JAN2000","31DEC2000",20,17,24,81,3.3,15,0.8,45,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 403",13343,".",403,"01JAN2000","31DEC2000",22,15,19,79,5.3,14,0.3,47,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 404",11257,".",404,"01JAN2000","31DEC2000",22,15,28,62,9.6,26,2.0,35,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 405",17169,".",405,"01JAN2000","31DEC2000",16,18,8.0,78,16,4.0,1.4,49,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 406",6811,".",406,"01JAN2000","31DEC2000",16,25,6.3,92,4.0,2.2,1.4,44,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 407",13091,".",407,"01JAN2000","31DEC2000",23,17,14,87,2.3,9.1,0.7,53,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 408",11796,".",408,"01JAN2000","31DEC2000",15,7.9,38,27,35,31,6.3,25,".",".",".",".",".",".",".",".","X","X","X",1
