"timeframe","cluster2017","TotPop","TotPop_m","cluster2017_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2010,"Cluster 16",3847,".","Cluster 16","01JAN2010","31DEC2010",18,23,".",69,23,5.0,1.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 17",20361,".","Cluster 17","01JAN2010","31DEC2010",19,15,".",69,10,18,1.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 18",36731,".","Cluster 18","01JAN2010","31DEC2010",20,13,".",60,13,25,1.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 19",12790,".","Cluster 19","01JAN2010","31DEC2010",18,19,".",79,6.8,13,0.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 20",11392,".","Cluster 20","01JAN2010","31DEC2010",14,19,".",69,24,4.9,2.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 21",21822,".","Cluster 21","01JAN2010","31DEC2010",15,13,".",68,23,6.7,2.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 22",12699,".","Cluster 22","01JAN2010","31DEC2010",20,15,".",80,12,6.3,1.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 23",14786,".","Cluster 23","01JAN2010","31DEC2010",21,11,".",87,7.1,4.2,1.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 24",6668,".","Cluster 24","01JAN2010","31DEC2010",16,23,".",87,5.0,5.5,1.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 25",24671,".","Cluster 25","01JAN2010","31DEC2010",15,9.1,".",48,44,4.3,3.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 26",28389,".","Cluster 26","01JAN2010","31DEC2010",12,8.7,".",34,57,5.0,3.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 27",2794,".","Cluster 27","01JAN2010","31DEC2010",4.9,8.5,".",32,57,5.5,6.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 28",4990,".","Cluster 28","01JAN2010","31DEC2010",32,8.0,".",97,1.2,1.0,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 29",2289,".","Cluster 29","01JAN2010","31DEC2010",36,9.0,".",97,0.7,1.5,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 30",6452,".","Cluster 30","01JAN2010","31DEC2010",27,10,".",97,0.6,1.9,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 31",12806,".","Cluster 31","01JAN2010","31DEC2010",28,11,".",96,0.8,2.5,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 32",12436,".","Cluster 32","01JAN2010","31DEC2010",25,13,".",97,0.7,1.7,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 33",17801,".","Cluster 33","01JAN2010","31DEC2010",27,12,".",96,0.8,3.2,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 34",16320,".","Cluster 34","01JAN2010","31DEC2010",20,16,".",96,2.0,1.6,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 35",5961,".","Cluster 35","01JAN2010","31DEC2010",18,17,".",92,5.2,1.9,0.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 36",7572,".","Cluster 36","01JAN2010","31DEC2010",30,8.6,".",98,0.8,1.2,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 37",7957,".","Cluster 37","01JAN2010","31DEC2010",36,5.5,".",97,0.7,1.6,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 38",11919,".","Cluster 38","01JAN2010","31DEC2010",35,6.4,".",98,0.6,1.1,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 39",27989,".","Cluster 39","01JAN2010","31DEC2010",29,8.7,".",97,0.8,1.4,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
