"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2013,"ZIP 20011",20011,"01JAN2013","31DEC2013",".",".",10842,5764,5078,20,12,32
2001,"ZIP 20012",20012,"01JAN2001","31DEC2001",".",".",1660,0,1660,0,3,3
2002,"ZIP 20012",20012,"01JAN2002","31DEC2002",".",".",1599,0,1599,0,3,3
2003,"ZIP 20012",20012,"01JAN2003","31DEC2003",".",".",1509,0,1509,0,3,3
2004,"ZIP 20012",20012,"01JAN2004","31DEC2004",".",".",1381,0,1381,0,3,3
2005,"ZIP 20012",20012,"01JAN2005","31DEC2005",".",".",1377,0,1377,0,3,3
2006,"ZIP 20012",20012,"01JAN2006","31DEC2006",".",".",1347,0,1347,0,3,3
2007,"ZIP 20012",20012,"01JAN2007","31DEC2007",".",".",1288,0,1288,0,3,3
2008,"ZIP 20012",20012,"01JAN2008","31DEC2008",".",".",1282,0,1282,0,3,3
2009,"ZIP 20012",20012,"01JAN2009","31DEC2009",".",".",1215,0,1215,0,3,3
2010,"ZIP 20012",20012,"01JAN2010","31DEC2010",".",".",1352,0,1352,0,3,3
2011,"ZIP 20012",20012,"01JAN2011","31DEC2011",".",".",1184,0,1184,0,3,3
2012,"ZIP 20012",20012,"01JAN2012","31DEC2012",".",".",1170,0,1170,0,3,3
2013,"ZIP 20012",20012,"01JAN2013","31DEC2013",".",".",1179,0,1179,0,3,3
2001,"ZIP 20015",20015,"01JAN2001","31DEC2001",".",".",499,0,499,0,1,1
2002,"ZIP 20015",20015,"01JAN2002","31DEC2002",".",".",514,0,514,0,1,1
2003,"ZIP 20015",20015,"01JAN2003","31DEC2003",".",".",537,0,537,0,1,1
2004,"ZIP 20015",20015,"01JAN2004","31DEC2004",".",".",546,0,546,0,1,1
2005,"ZIP 20015",20015,"01JAN2005","31DEC2005",".",".",579,0,579,0,1,1
2006,"ZIP 20015",20015,"01JAN2006","31DEC2006",".",".",595,0,595,0,1,1
2007,"ZIP 20015",20015,"01JAN2007","31DEC2007",".",".",623,0,623,0,1,1
2008,"ZIP 20015",20015,"01JAN2008","31DEC2008",".",".",610,0,610,0,1,1
2009,"ZIP 20015",20015,"01JAN2009","31DEC2009",".",".",634,0,634,0,1,1
2010,"ZIP 20015",20015,"01JAN2010","31DEC2010",".",".",682,0,682,0,1,1
2011,"ZIP 20015",20015,"01JAN2011","31DEC2011",".",".",707,0,707,0,1,1
2012,"ZIP 20015",20015,"01JAN2012","31DEC2012",".",".",689,0,689,0,1,1
2013,"ZIP 20015",20015,"01JAN2013","31DEC2013",".",".",689,0,689,0,1,1
2001,"ZIP 20016",20016,"01JAN2001","31DEC2001",".",".",3433,0,3433,0,6,6
2002,"ZIP 20016",20016,"01JAN2002","31DEC2002",".",".",3338,0,3338,0,6,6
2003,"ZIP 20016",20016,"01JAN2003","31DEC2003",".",".",3337,0,3337,0,6,6
2004,"ZIP 20016",20016,"01JAN2004","31DEC2004",".",".",3421,213,3208,1,5,6
2005,"ZIP 20016",20016,"01JAN2005","31DEC2005",".",".",3347,101,3246,1,5,6
2006,"ZIP 20016",20016,"01JAN2006","31DEC2006",".",".",3367,178,3189,2,5,7
2007,"ZIP 20016",20016,"01JAN2007","31DEC2007",".",".",3427,307,3120,2,5,7
2008,"ZIP 20016",20016,"01JAN2008","31DEC2008",".",".",3267,205,3062,1,5,6
2009,"ZIP 20016",20016,"01JAN2009","31DEC2009",".",".",3411,0,3411,0,5,5
2010,"ZIP 20016",20016,"01JAN2010","31DEC2010",".",".",3585,0,3585,0,5,5
2011,"ZIP 20016",20016,"01JAN2011","31DEC2011",".",".",3871,0,3871,0,5,5
2012,"ZIP 20016",20016,"01JAN2012","31DEC2012",".",".",4138,0,4138,0,5,5
2013,"ZIP 20016",20016,"01JAN2013","31DEC2013",".",".",4239,0,4239,0,5,5
2001,"ZIP 20017",20017,"01JAN2001","31DEC2001",".",".",1509,0,1509,0,4,4
2002,"ZIP 20017",20017,"01JAN2002","31DEC2002",".",".",1506,0,1506,0,4,4
